,PlaylistName,PlaylistURL,PlaylistID,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
0,funeral songs for young people,https://open.spotify.com/playlist/2JiN8jpZBnSBk7aQsfNb8i,2JiN8jpZBnSBk7aQsfNb8i,kalina,https://open.spotify.com/user/kali_7874,72,i wonder how bare creamation feels about this,False,https://images-ak.spotifycdn.com/image/ab67706c0000bebbfea93034142888d945310770
1,best funeral songs,https://open.spotify.com/playlist/0tFEnKpaqod3mmKj5bWvJN,0tFEnKpaqod3mmKj5bWvJN,nel,https://open.spotify.com/user/levimbony26,131,&quot;I turned around and the water was closing around me&quot;,False,https://images-ak.spotifycdn.com/image/ab67706c0000bebb9522c9c3e862d12ba50119fd
2,,https://open.spotify.com/playlist/04dXgFVf4nFrkyPuAbMrWn,04dXgFVf4nFrkyPuAbMrWn,alice_elder,https://open.spotify.com/user/alice_elder,47,,False,https://mosaic.scdn.co/640/ab67616d0000b2731562510549e53c6de3fb5644ab67616d0000b27368b90c3b34c3ac22856ddab8ab67616d0000b273c428f67b4a9b7e1114dfc117ab67616d0000b273f8553e18a11209d4becd0336
3,Funeral Doom Metal Mix,https://open.spotify.com/playlist/37i9dQZF1EIed944L5Xtls,37i9dQZF1EIed944L5Xtls,Spotify,https://open.spotify.com/user/spotify,50,Funeral Doom Metal music picked just for you,False,https://seed-mix-image.spotifycdn.com/v6/img/desc/Funeral%20Doom%20Metal/en/large
4,Funeral Doom Mix,https://open.spotify.com/playlist/37i9dQZF1EIgc3LychAFnG,37i9dQZF1EIgc3LychAFnG,Spotify,https://open.spotify.com/user/spotify,50,Funeral Doom music picked just for you,False,https://seed-mix-image.spotifycdn.com/v6/img/desc/Funeral%20Doom/en/large
5,Funeral Rock Songs,https://open.spotify.com/playlist/3sf8ud5qoKeEw1WSSFmQgm,3sf8ud5qoKeEw1WSSFmQgm,Santos Nadyne,https://open.spotify.com/user/31xrvu6cgvfdfhqs3pnxiws6sfsu,22,,False,https://mosaic.scdn.co/640/ab67616d0000b2737e1774622a9c5f52b7dd1c33ab67616d0000b273bc7ddb77993dd1d8d19c22a2ab67616d0000b273c786ceb2ebf85c58c7dc665fab67616d0000b273fba8f5b94a3d213cffbcdefd
6,"Sad, Grief, Funeral Songs",https://open.spotify.com/playlist/0qoo10mQGblw4LbHsFz6Fu,0qoo10mQGblw4LbHsFz6Fu,Elizarotherham,https://open.spotify.com/user/31condyv23ai7iiseqzbfh7o4zpe,106,,False,https://mosaic.scdn.co/640/ab67616d0000b2734e5df11b17b2727da2b718d8ab67616d0000b27364057b17948fa0b63f3f4767ab67616d0000b27394c9217a398f5174757c0c78ab67616d0000b273991f6658282ef028f93b11e0
7,Funeral playlist,https://open.spotify.com/playlist/4ZXSnITQ3jMRpGNKy4fJ0x,4ZXSnITQ3jMRpGNKy4fJ0x,Emilie Dn,https://open.spotify.com/user/1118502020,505,"Vous me l&#x27;avez demandée, la voici... ",False,https://images-ak.spotifycdn.com/image/ab67706c0000bebb5f9ec310c3bf5e9a77b8ea26
8,funeral,https://open.spotify.com/playlist/31OIme0YdF4ORWvEdTyE6V,31OIme0YdF4ORWvEdTyE6V,Ryuichi Sakamoto,https://open.spotify.com/user/ryuichisakamoto,33,Ryuichi’s Last Playlist. We would like to share the playlist that Ryuichi had been privately compiling to be played at his own funeral to accompany his own passing. He truly was with music until the very end.,False,https://images-ak.spotifycdn.com/image/ab67706c0000bebbe0a0dbec04a4ccd67b95e647
9,Funeral Songs to Celebrate Life,https://open.spotify.com/playlist/0q0Qa0kov54ebgM7uk3kJp,0q0Qa0kov54ebgM7uk3kJp,funeralOne,https://open.spotify.com/user/a4zhp97a5uu8x6615hth9887y,90,,False,https://mosaic.scdn.co/640/ab67616d0000b273570fb270ebced7d75338d493ab67616d0000b273749e9bfa78277f30ad2c9a9cab67616d0000b273c985bcc18dd81da80839e5a9ab67616d0000b273cdea00c6905f588e1f72ccad
