,PlaylistID,Song,SongURI,PreviewLink,Album,Artist,Genres,BigAlbumArt,SmallAlbumArt,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,TimeSignature
0,31OIme0YdF4ORWvEdTyE6V,Haliod Xerrox Copy 3 (Paris),spotify:track:4img8gtb6WhXxlrSdH3dFn,https://p.scdn.co/mp3-preview/6e56f45bd2ff48ef0cac4599b27bbdfa0d8ac98e?cid=8ea9544c774649e49a2c2e41feb74396,"Xerrox, Vol. 1",alva noto,[],https://i.scdn.co/image/ab67616d00001e0248be2b26300ce6a39c737644,https://i.scdn.co/image/ab67616d0000485148be2b26300ce6a39c737644,0.138,0.177,10,-18.996,0,0.0367,0.878,0.987,0.0924,0.0378,100.62,677840,4
1,31OIme0YdF4ORWvEdTyE6V,Thème de Camille,spotify:track:7iHNPpvbWqMmamrCqMXFGJ,,Le mépris (Original Movie Soundtrack) – EP,Georges Delerue,[],https://i.scdn.co/image/ab67616d00001e02691c940318a4b382d477e939,https://i.scdn.co/image/ab67616d00004851691c940318a4b382d477e939,0.162,0.16,6,-18.587,0,0.0417,0.99,0.869,0.115,0.0344,131.042,151524,4
2,31OIme0YdF4ORWvEdTyE6V,Romanzo,spotify:track:70mWOkztDQrAjX9yf04k6V,https://p.scdn.co/mp3-preview/12a9a8c309b744351dee7e6bd58a18edff22ba0e?cid=8ea9544c774649e49a2c2e41feb74396,Novecento - 1900 (Bande originale du film de Bernardo Bertolucci (1976)),Ennio Morricone,[],https://i.scdn.co/image/ab67616d00001e0212acaf9ec0c898790aa2cbdc,https://i.scdn.co/image/ab67616d0000485112acaf9ec0c898790aa2cbdc,0.0884,0.145,7,-15.76,1,0.0359,0.988,0.815,0.0976,0.0509,81.644,248413,3
3,31OIme0YdF4ORWvEdTyE6V,"La chanson d’Eve, Op. 95: No. 10, O mort, poussière d'étoiles",spotify:track:0sJD8RMATP9g2V5QVi5EQj,https://p.scdn.co/mp3-preview/897baef9230ca27910a6ceb141644a4d2034a8d0?cid=8ea9544c774649e49a2c2e41feb74396,"The Complete Songs of Fauré, Vol. 2",Gabriel Fauré,[],https://i.scdn.co/image/ab67616d00001e0222f0ecc214816517c11deb4b,https://i.scdn.co/image/ab67616d0000485122f0ecc214816517c11deb4b,0.279,0.0387,1,-23.854,1,0.0558,0.994,0.00855,0.0958,0.0366,90.617,158685,3
4,31OIme0YdF4ORWvEdTyE6V,Gymnopédie No. 1 (Orch. Debussy),spotify:track:3dI3XloNMVwX4FmDXKxKj4,https://p.scdn.co/mp3-preview/2a387abc4da583617708189238f960656a9ce225?cid=8ea9544c774649e49a2c2e41feb74396,Adagios For After Hours - The Relaxing Way To End Your Day,Various Artists,[],https://i.scdn.co/image/ab67616d00001e02bc399f64bc265b3fb96c9c58,https://i.scdn.co/image/ab67616d00004851bc399f64bc265b3fb96c9c58,0.16,0.0309,7,-34.648,1,0.0457,0.91,0.821,0.12,0.0474,142.827,282867,4
5,31OIme0YdF4ORWvEdTyE6V,Le Fils des Étoiles: Prélude du premier Acte,spotify:track:6sxWRqmFZtUcCpeRpk3K22,https://p.scdn.co/mp3-preview/b8a8f0d61c1a54b5dfe90be653d81dd1b3ea18d1?cid=8ea9544c774649e49a2c2e41feb74396,Satie: Le Fils des Étoiles,Erik Satie,[],https://i.scdn.co/image/ab67616d00001e02a2d3e840a5747779a5b945d7,https://i.scdn.co/image/ab67616d00004851a2d3e840a5747779a5b945d7,0.55,0.00405,0,-21.788,1,0.0741,0.994,0.935,0.0785,0.117,70.772,186387,4
6,31OIme0YdF4ORWvEdTyE6V,Elégie,spotify:track:6BNiSvSQDKxTLwnqtTeoIR,https://p.scdn.co/mp3-preview/4991c85d7ff5e954b1aaa8f4fb1155aa324b3840?cid=8ea9544c774649e49a2c2e41feb74396,Bijoux,Eva Lind,[],https://i.scdn.co/image/ab67616d00001e02e1ba0aef1776430575dc1a3e,https://i.scdn.co/image/ab67616d00004851e1ba0aef1776430575dc1a3e,0.326,0.0161,5,-29.119,0,0.0585,0.987,0.000158,0.105,0.045,113.088,202107,5
7,31OIme0YdF4ORWvEdTyE6V,"Préludes / Book 1, L. 117: VI. Des pas sur la neige",spotify:track:6P57O1B7vDbUPPkrkUmxlW,https://p.scdn.co/mp3-preview/797bca10a109f707229155559ee7bcf716fdaf42?cid=8ea9544c774649e49a2c2e41feb74396,Debussy: Piano Works,Claude Debussy,[],https://i.scdn.co/image/ab67616d00001e023f59d851fb4f367793cc112d,https://i.scdn.co/image/ab67616d000048513f59d851fb4f367793cc112d,0.512,0.00156,2,-35.114,0,0.0743,0.993,0.93,0.0881,0.0943,99.879,299000,3
8,31OIme0YdF4ORWvEdTyE6V,"Images - Book 2, L. 111: II. Et la lune descend sur le temple qui fût",spotify:track:7CbsE2sKeXsilTEk3tSt2o,https://p.scdn.co/mp3-preview/891093bb151f13d03d0d2af9989b86e23f908300?cid=8ea9544c774649e49a2c2e41feb74396,Debussy: Piano Works,Claude Debussy,[],https://i.scdn.co/image/ab67616d00001e023f59d851fb4f367793cc112d,https://i.scdn.co/image/ab67616d000048513f59d851fb4f367793cc112d,0.487,0.00226,4,-31.695,0,0.0585,0.992,0.929,0.0639,0.0376,95.895,314000,4
9,31OIme0YdF4ORWvEdTyE6V,"Le roi Lear, L. 107: II. Le sommeil de Lear",spotify:track:1SmJciGhQbKQoDm4S7gEDU,https://p.scdn.co/mp3-preview/b3fe04286ab5b483b10e0fa9a05919a30e0991d8?cid=8ea9544c774649e49a2c2e41feb74396,Debussy: Estampes; Pour le piano; 6 épigraphes antiques,Claude Debussy,[],https://i.scdn.co/image/ab67616d00001e02a13a0c0653e92e6ac7509294,https://i.scdn.co/image/ab67616d00004851a13a0c0653e92e6ac7509294,0.464,0.000785,4,-39.372,0,0.0659,0.996,0.935,0.0757,0.0395,67.523,206707,4
10,31OIme0YdF4ORWvEdTyE6V,"String Quartet in G Minor, Op. 10, L. 85: III. Andantino, doucement expressif",spotify:track:6HHfSYDrGsL2uEn96HSA2S,https://p.scdn.co/mp3-preview/eaba01bc9c249a9dccb61ae04d7bdf04342ee647?cid=8ea9544c774649e49a2c2e41feb74396,"Sibelius, Debussy, Ravel & Lutosławski: String Quartets",Budapest String Quartet,[],https://i.scdn.co/image/ab67616d00001e021ad74cc3159f3c3977df8f42,https://i.scdn.co/image/ab67616d000048511ad74cc3159f3c3977df8f42,0.129,0.0988,1,-28.495,1,0.0663,0.823,0.234,0.131,0.0338,87.149,523187,5
11,31OIme0YdF4ORWvEdTyE6V,"Nocturnes, L. 91: No. 1, Nuages",spotify:track:2294jTQzeluGqjIxNqSeMU,https://p.scdn.co/mp3-preview/981d68c472b8ff887d119ae1da1ce72b6073acb5?cid=8ea9544c774649e49a2c2e41feb74396,"Debussy: La mer, Prélude à l'après-midi d'un faune, Jeux & Nocturnes",Claude Debussy,[],https://i.scdn.co/image/ab67616d00001e027defc93a2c613dda77a1804d,https://i.scdn.co/image/ab67616d000048517defc93a2c613dda77a1804d,0.158,0.0395,0,-30.566,1,0.0408,0.926,0.933,0.102,0.0305,133.275,491733,1
12,31OIme0YdF4ORWvEdTyE6V,"La mer, L. 109: II. Jeux de vagues",spotify:track:2VLpQsC2LYnAcrCvqW4DSP,https://p.scdn.co/mp3-preview/5c9013662b99ff6e56243d97eb554c1659bcf33f?cid=8ea9544c774649e49a2c2e41feb74396,Debussy: Nocturnes; Première Rhapsodie; Jeux; La Mer,Claude Debussy,[],https://i.scdn.co/image/ab67616d00001e02ba30ace8d7777e2093239ccf,https://i.scdn.co/image/ab67616d00004851ba30ace8d7777e2093239ccf,0.124,0.0642,4,-26.471,1,0.0395,0.963,0.731,0.0926,0.0346,89.735,425400,3
13,31OIme0YdF4ORWvEdTyE6V,"Sonata in B Minor, K.87",spotify:track:67A6Q3oBopxX56LYOBbGco,https://p.scdn.co/mp3-preview/d041878f417936c4be1faa17dbfc7020cf29ef8b?cid=8ea9544c774649e49a2c2e41feb74396,Vladimir Horowitz - Complete Recordings on Deutsche Grammophon,Vladimir Horowitz,[],https://i.scdn.co/image/ab67616d00001e027ad2d4b5a8d899fcf8ce958d,https://i.scdn.co/image/ab67616d000048517ad2d4b5a8d899fcf8ce958d,0.201,0.0105,11,-40.397,0,0.0529,0.992,0.933,0.0865,0.186,75.905,262200,3
14,31OIme0YdF4ORWvEdTyE6V,"Bach, JS: Matthäus-Passion, BWV 244, Pt. 2: No. 63, Choral. ""O Haupt voll Blut und wunden"" (Live)",spotify:track:3NhuZxOEzGx4R0sVMKVCIw,https://p.scdn.co/mp3-preview/95e06d5eae55ea56d31401da3ff77e09acf38e5a?cid=8ea9544c774649e49a2c2e41feb74396,"Bach, JS: Matthäus-Passion, BWV 244 (Live)",Johann Sebastian Bach,[],https://i.scdn.co/image/ab67616d00001e02e413f7e11447133b729797b2,https://i.scdn.co/image/ab67616d00004851e413f7e11447133b729797b2,0.0907,0.0857,5,-26.453,1,0.0416,0.993,0.587,0.127,0.037,81.324,139707,1
